float_file,date,lat,lon,ocean,profiler_type,pressure,temperature,salinity
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,88.3,17.436,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,93.4,16.357,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,101.0,15.832,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,111.2,15.223,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,121.4,14.951,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,131.5,14.71,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,141.7,14.478,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,151.9,14.352,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,162.1,14.113,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,172.3,13.984,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,182.4,13.877,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,192.6,13.839,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,202.8,13.823,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,213.0,13.807,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,223.2,13.802,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,233.3,13.723,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,243.5,13.309,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,253.7,12.797,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,263.9,12.721,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,274.1,12.556,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,284.2,12.244,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,294.4,12.029,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,304.6,11.706,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,314.8,11.341,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,325.0,11.206,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,335.1,10.709,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,345.3,9.588,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,355.5,8.819,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,365.7,8.574,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,375.9,8.525,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,386.0,8.428,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,396.2,8.311,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,406.4,8.207,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,416.6,8.088,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,426.8,7.985,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,436.9,7.97,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,447.1,7.95,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,457.3,7.922,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,467.5,7.844,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,477.7,7.809,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,487.8,7.793,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,498.0,7.735,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,508.2,7.615,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,518.4,7.296,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,528.6,7.066,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,538.7,7.025,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,548.9,6.991,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,559.1,6.853,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,569.3,6.642,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,579.5,6.547,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,589.6,6.272,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,599.8,6.146,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,610.0,6.11,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,620.2,6.007,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,630.4,5.894,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,640.5,5.813,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,650.7,5.792,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,660.9,5.753,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,671.1,5.666,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,681.3,5.582,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,691.4,5.496,
